Title,Price
Sharp Objects,£47.82
"In a Dark, Dark Wood",£19.63
The Past Never Ends,£56.50
A Murder in Time,£16.64
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10
The Last Mile (Amos Decker #2),£54.21
That Darkness (Gardiner and Renner #1),£13.92
Tastes Like Fear (DI Marnie Rome #3),£10.69
A Time of Torment (Charlie Parker #14),£48.35
A Study in Scarlet (Sherlock Holmes #1),£16.73
Poisonous (Max Revere Novels #3),£26.80
Murder at the 42nd Street Library (Raymond Ambler #1),£54.36
Most Wanted,£35.28
Hide Away (Eve Duncan #20),£11.84
Boar Island (Anna Pigeon #19),£59.48
The Widow,£27.26
Playing with Fire,£13.71
What Happened on Beale Street (Secrets of the South Mysteries #2),£25.37
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),£52.30
Delivering the Truth (Quaker Midwife Mystery #1),£20.89
